"customer_id","age","gender","city","segment","account_id","balance","transaction_id","transaction_date","amount","type","category"
442,32,"Male","Shymkent","mass",442,"710672",1,"2024-06-25","46152","credit","atm"
401,20,"Female","Astana","mass",401,"293946",2,"2024-11-10","43267","debit","atm"
400,48,"Male","Shymkent","premium",400,"263031",3,"2024-08-26","26678","debit","food"
727,18,"Male","Astana","mass",727,"765791",4,"2024-02-16","9983","debit","salary"
991,24,"Female","Almaty","premium",991,"434219",5,"2024-10-04","42239","debit","food"
899,59,"Male","Astana","mass",899,"917262",6,"2024-12-30","22317","debit","shopping"
789,65,"Male","Almaty","mass",789,"948458",7,"2024-07-10","10807","credit","shopping"
576,29,"Female","Shymkent","mass",576,"790449",8,"2024-06-22","40956","credit","transfer"
858,25,"Female","Shymkent","mass",858,"353076",9,"2024-06-08","13240","debit","salary"
804,62,"Male","Shymkent","mass",804,"786086",10,"2024-12-19","49713","debit","salary"
490,29,"Male","Almaty","mass",490,"292253",11,"2024-07-31","11193","debit","shopping"
485,43,"Male","Astana","mass",485,"61842",12,"2024-03-31","16600","debit","food"
757,18,"Female","Shymkent","mass",757,"899485",13,"2024-08-21","38653","debit","atm"
470,69,"Female","Shymkent","mass",470,"76361",14,"2024-06-13","6607","credit","salary"
574,46,"Male","Shymkent","premium",574,"91176",15,"2024-11-18","32686","debit","atm"
938,67,"Male","Shymkent","mass",938,"420162",16,"2024-06-28","5930","debit","shopping"
844,26,"Female","Almaty","mass",844,"561446",17,"2024-04-18","30708","debit","transfer"
682,63,"Female","Shymkent","mass",682,"724174",18,"2024-02-03","37429","credit","shopping"
445,19,"Female","Astana","mass",445,"761401",19,"2024-07-07","47387","debit","atm"
269,37,"Male","Astana","mass",269,"357246",20,"2024-11-22","24611","debit","shopping"
267,20,"Female","Astana","premium",267,"33872",21,"2024-08-08","33527","debit","salary"
54,43,"Male","Shymkent","mass",54,"198784",22,"2024-06-21","18606","debit","atm"
528,38,"Male","Almaty","mass",528,"84381",23,"2024-06-17","28495","debit","atm"
520,63,"Female","Almaty","mass",520,"889493",24,"2024-03-06","44403","debit","transfer"
616,49,"Female","Almaty","mass",616,"400826",25,"2024-09-24","46870","debit","salary"
59,24,"Female","Astana","mass",59,"814914",26,"2024-09-27","27226","credit","food"
825,38,"Female","Astana","mass",825,"270784",27,"2024-05-05","29566","credit","transfer"
40,69,"Female","Shymkent","mass",40,"502648",28,"2024-09-03","18070","debit","salary"
237,36,"Female","Almaty","premium",237,"372282",29,"2024-09-28","4782","credit","food"
955,51,"Male","Almaty","mass",955,"383071",30,"2024-09-15","48570","debit","atm"
386,66,"Male","Almaty","mass",386,"150653",31,"2024-08-25","11039","credit","transfer"
606,26,"Female","Shymkent","mass",606,"405841",32,"2024-10-30","8926","debit","atm"
734,55,"Male","Shymkent","mass",734,"61753",33,"2024-03-31","23471","debit","atm"
716,56,"Female","Shymkent","mass",716,"676585",34,"2024-08-03","30046","debit","atm"
650,64,"Male","Almaty","mass",650,"806457",35,"2024-08-17","24459","debit","salary"
300,54,"Female","Astana","premium",300,"303664",36,"2024-06-03","19366","debit","food"
395,50,"Female","Almaty","mass",395,"516612",37,"2024-10-29","38117","debit","salary"
207,68,"Female","Astana","mass",207,"45475",38,"2024-06-12","19295","debit","atm"
336,21,"Male","Almaty","mass",336,"476128",39,"2024-05-24","45513","credit","transfer"
593,58,"Female","Astana","mass",593,"233540",40,"2024-10-27","27415","debit","atm"
730,45,"Female","Almaty","mass",730,"586349",41,"2024-12-19","18368","credit","food"
514,31,"Female","Shymkent","mass",514,"828569",42,"2024-07-08","9810","credit","salary"
178,45,"Female","Shymkent","mass",178,"299188",43,"2024-05-08","41681","debit","food"
396,20,"Male","Almaty","mass",396,"141880",44,"2024-10-02","45637","debit","salary"
371,21,"Male","Almaty","mass",371,"507831",45,"2024-07-15","14261","debit","food"
858,25,"Female","Shymkent","mass",858,"353076",46,"2024-07-10","31921","credit","food"
791,30,"Male","Shymkent","mass",791,"303602",47,"2024-12-14","9829","debit","salary"
658,53,"Male","Almaty","mass",658,"487025",48,"2024-11-21","48548","credit","salary"
318,55,"Female","Almaty","mass",318,"201554",49,"2024-09-11","49015","credit","salary"
736,61,"Male","Shymkent","mass",736,"404303",50,"2024-02-22","27013","credit","shopping"
369,65,"Female","Shymkent","mass",369,"961030",51,"2024-04-18","22284","debit","food"
384,41,"Male","Almaty","premium",384,"131184",52,"2024-12-14","23379","debit","shopping"
62,64,"Female","Astana","mass",62,"492148",53,"2024-04-17","26670","credit","shopping"
806,50,"Male","Almaty","mass",806,"331310",54,"2024-07-07","43130","credit","atm"
505,46,"Female","Shymkent","mass",505,"521658",55,"2024-11-25","35233","debit","shopping"
239,61,"Male","Almaty","mass",239,"272158",56,"2024-10-07","13295","debit","shopping"
195,44,"Female","Shymkent","premium",195,"970963",57,"2024-01-29","43905","debit","salary"
678,61,"Male","Shymkent","premium",678,"185194",58,"2024-04-24","44098","debit","salary"
963,64,"Male","Astana","mass",963,"834440",59,"2024-02-04","17338","credit","transfer"
222,19,"Female","Almaty","mass",222,"934093",60,"2024-10-29","15652","debit","food"
61,25,"Male","Shymkent","mass",61,"625043",61,"2024-06-08","2828","debit","shopping"
129,65,"Male","Almaty","mass",129,"74601",62,"2024-05-06","48345","debit","shopping"
990,68,"Female","Almaty","mass",990,"483007",63,"2024-10-28","23657","credit","food"
685,59,"Female","Shymkent","mass",685,"297986",64,"2024-02-05","5038","debit","salary"
992,20,"Female","Astana","mass",992,"282140",65,"2024-03-11","31302","debit","salary"
156,30,"Male","Almaty","mass",156,"371994",66,"2024-10-28","231","debit","food"
917,60,"Female","Shymkent","mass",917,"55480",67,"2024-04-07","25792","debit","food"
378,46,"Female","Astana","premium",378,"832721",68,"2024-04-06","20077","debit","salary"
622,66,"Male","Astana","premium",622,"362441",69,"2024-01-26","33161","debit","food"
781,53,"Female","Astana","mass",781,"175121",70,"2024-06-24","27364","debit","salary"
