transaction_id,account_id,amount,type,category,transaction_date
1,442,46152,credit,atm,2024-06-25
2,401,43267,debit,atm,2024-11-10
3,400,26678,debit,food,2024-08-26
4,727,9983,debit,salary,2024-02-16
5,991,42239,debit,food,2024-10-04
6,899,22317,debit,shopping,2024-12-30
7,789,10807,credit,shopping,2024-07-10
8,576,40956,credit,transfer,2024-06-22
9,858,13240,debit,salary,2024-06-08
10,804,49713,debit,salary,2024-12-19
11,490,11193,debit,shopping,2024-07-31
12,485,16600,debit,food,2024-03-31
13,757,38653,debit,atm,2024-08-21
14,470,6607,credit,salary,2024-06-13
15,574,32686,debit,atm,2024-11-18
16,938,5930,debit,shopping,2024-06-28
17,844,30708,debit,transfer,2024-04-18
18,682,37429,credit,shopping,2024-02-03
19,445,47387,debit,atm,2024-07-07
20,269,24611,debit,shopping,2024-11-22
21,267,33527,debit,salary,2024-08-08
22,54,18606,debit,atm,2024-06-21
23,528,28495,debit,atm,2024-06-17
24,520,44403,debit,transfer,2024-03-06
25,616,46870,debit,salary,2024-09-24
26,59,27226,credit,food,2024-09-27
27,825,29566,credit,transfer,2024-05-05
28,40,18070,debit,salary,2024-09-03
29,237,4782,credit,food,2024-09-28
30,955,48570,debit,atm,2024-09-15
31,386,11039,credit,transfer,2024-08-25
32,606,8926,debit,atm,2024-10-30
33,734,23471,debit,atm,2024-03-31
34,716,30046,debit,atm,2024-08-03
35,650,24459,debit,salary,2024-08-17
36,300,19366,debit,food,2024-06-03
37,395,38117,debit,salary,2024-10-29
38,207,19295,debit,atm,2024-06-12
39,336,45513,credit,transfer,2024-05-24
40,593,27415,debit,atm,2024-10-27
41,730,18368,credit,food,2024-12-19
42,514,9810,credit,salary,2024-07-08
43,178,41681,debit,food,2024-05-08
44,396,45637,debit,salary,2024-10-02
45,371,14261,debit,food,2024-07-15
46,858,31921,credit,food,2024-07-10
47,791,9829,debit,salary,2024-12-14
48,658,48548,credit,salary,2024-11-21
49,318,49015,credit,salary,2024-09-11
50,736,27013,credit,shopping,2024-02-22
51,369,22284,debit,food,2024-04-18
52,384,23379,debit,shopping,2024-12-14
53,62,26670,credit,shopping,2024-04-17
54,806,43130,credit,atm,2024-07-07
55,505,35233,debit,shopping,2024-11-25
56,239,13295,debit,shopping,2024-10-07
57,195,43905,debit,salary,2024-01-29
58,678,44098,debit,salary,2024-04-24
59,963,17338,credit,transfer,2024-02-04
60,222,15652,debit,food,2024-10-29
61,61,2828,debit,shopping,2024-06-08
62,129,48345,debit,shopping,2024-05-06
63,990,23657,credit,food,2024-10-28
64,685,5038,debit,salary,2024-02-05
65,992,31302,debit,salary,2024-03-11
66,156,231,debit,food,2024-10-28
67,917,25792,debit,food,2024-04-07
68,378,20077,debit,salary,2024-04-06
69,622,33161,debit,food,2024-01-26
70,781,27364,debit,salary,2024-06-24
71,923,25675,debit,food,2024-06-24
72,868,14827,credit,salary,2024-01-13
73,903,10588,debit,transfer,2024-06-06
74,790,20169,debit,salary,2024-08-11
75,586,24500,debit,salary,2024-08-12
76,999,24246,debit,shopping,2024-07-12
77,437,6946,debit,salary,2024-05-04
78,975,40452,credit,food,2024-01-07
79,207,23794,debit,atm,2024-11-07
80,388,21840,credit,food,2024-10-12
81,480,49538,debit,shopping,2024-08-25
82,791,31096,debit,food,2024-02-24
83,887,32225,credit,transfer,2024-08-05
84,838,41509,debit,atm,2024-08-04
85,984,44300,debit,atm,2024-06-18
86,340,23070,credit,shopping,2024-01-06
87,869,10995,debit,atm,2024-09-20
88,340,38171,debit,salary,2024-11-24
89,204,22358,debit,shopping,2024-05-07
90,161,23454,credit,transfer,2024-03-15
91,540,30741,debit,atm,2024-08-03
92,392,8544,debit,atm,2024-11-21
93,769,9711,credit,shopping,2024-02-09
94,677,10628,debit,atm,2024-07-02
95,575,1099,debit,atm,2024-03-20
96,534,3860,credit,transfer,2024-09-29
97,70,36984,debit,transfer,2024-12-09
98,893,37279,debit,shopping,2024-10-22
99,405,22041,debit,atm,2024-04-13
100,608,26122,credit,food,2024-11-09
101,675,43230,debit,shopping,2024-12-12
102,591,43981,credit,transfer,2024-11-05
103,517,36551,debit,food,2024-01-09
104,828,26621,debit,atm,2024-11-02
105,120,47850,debit,shopping,2024-05-17
106,814,29739,debit,shopping,2024-02-18
107,690,34721,debit,transfer,2024-06-06
108,688,31549,credit,salary,2024-09-21
109,902,13179,debit,salary,2024-06-22
110,217,6995,debit,salary,2024-10-08
111,56,28079,credit,shopping,2024-07-10
112,366,45803,debit,transfer,2024-06-10
113,699,12652,credit,transfer,2024-08-14
114,504,27494,debit,salary,2024-05-07
115,744,48921,debit,food,2024-01-27
116,767,32376,credit,salary,2024-03-24
117,925,33730,credit,shopping,2024-08-03
118,455,4627,debit,food,2024-06-17
119,104,12347,debit,transfer,2024-03-23
120,77,17703,debit,atm,2024-01-18
121,230,36663,debit,food,2024-11-01
122,914,45664,credit,transfer,2024-10-25
123,258,45602,debit,food,2024-02-10
124,264,627,credit,salary,2024-12-25
125,331,3022,debit,food,2024-01-18
126,993,5949,debit,food,2024-07-07
127,182,30400,credit,food,2024-07-18
128,893,27880,debit,shopping,2024-12-21
129,768,45824,credit,shopping,2024-02-22
130,550,28240,debit,salary,2024-03-20
131,688,17330,debit,atm,2024-11-04
132,27,26793,debit,shopping,2024-09-25
133,276,7059,credit,atm,2024-10-08
134,652,35954,debit,shopping,2024-04-21
135,299,42830,debit,transfer,2024-03-30
136,957,19767,debit,transfer,2024-09-03
137,799,26501,debit,food,2024-02-25
138,91,48287,debit,atm,2024-12-06
139,480,3423,debit,food,2024-07-07
140,573,545,debit,food,2024-05-28
141,458,17509,debit,shopping,2024-09-20
142,451,10063,credit,shopping,2024-08-12
143,365,15537,credit,food,2024-07-10
144,859,16955,debit,shopping,2024-11-23
145,675,16511,debit,transfer,2024-03-10
146,351,10947,debit,transfer,2024-01-06
147,655,3336,debit,atm,2024-01-22
148,400,13587,credit,transfer,2024-06-22
149,253,11948,debit,food,2024-04-04
150,781,13255,debit,salary,2024-07-07
151,881,11355,credit,shopping,2024-11-13
152,803,2079,debit,food,2024-03-09
153,459,21405,debit,shopping,2024-03-26
154,699,9107,debit,atm,2024-02-26
155,917,35194,debit,food,2024-04-21
156,499,35198,debit,food,2024-06-01
157,950,24130,debit,food,2024-11-24
158,971,33870,debit,atm,2024-06-01
159,926,9834,credit,food,2024-04-02
160,508,6548,debit,shopping,2024-06-09
161,304,39705,debit,salary,2024-12-28
162,501,12496,debit,food,2024-01-08
163,803,27981,debit,atm,2024-12-25
164,598,31277,debit,atm,2024-04-29
165,166,40222,debit,food,2024-05-20
166,415,47119,debit,atm,2024-11-12
167,462,35397,debit,transfer,2024-08-27
168,920,46077,debit,atm,2024-04-26
169,114,36780,credit,salary,2024-04-23
170,433,18016,debit,transfer,2024-12-26
171,992,31339,credit,shopping,2024-01-27
172,356,44184,debit,transfer,2024-11-05
173,928,34289,debit,salary,2024-10-15
174,695,13610,debit,transfer,2024-08-10
175,207,25066,credit,food,2024-06-04
176,768,22252,credit,atm,2024-07-31
177,235,19302,credit,food,2024-06-28
178,442,26545,credit,food,2024-10-11
179,355,11252,debit,food,2024-04-02
180,515,5717,credit,transfer,2024-07-07
181,208,1295,credit,shopping,2024-08-31
182,709,39097,debit,atm,2024-11-24
183,853,25533,credit,transfer,2024-11-12
184,125,5405,debit,food,2024-05-29
185,138,8177,credit,salary,2024-07-18
186,339,48748,credit,salary,2024-11-08
187,537,31485,credit,food,2024-02-14
188,68,42213,credit,shopping,2024-03-21
189,573,38068,debit,atm,2024-08-02
190,541,42742,debit,transfer,2024-08-18
191,383,33162,debit,shopping,2024-01-30
192,19,6197,debit,salary,2024-05-21
193,683,39280,debit,food,2024-08-04
194,450,41704,debit,transfer,2024-12-01
195,74,44693,debit,shopping,2024-05-25
196,573,6778,credit,shopping,2024-06-08
197,939,32221,credit,shopping,2024-06-14
198,665,48603,debit,transfer,2024-04-25
199,276,21504,debit,atm,2024-02-22
200,48,5843,debit,transfer,2024-05-22
201,211,16594,debit,food,2024-10-31
202,855,41643,debit,transfer,2024-02-02
203,920,44285,credit,shopping,2024-09-25
204,651,9778,debit,atm,2024-07-17
205,622,37732,credit,atm,2024-07-10
206,994,46335,debit,food,2024-05-26
207,695,1748,debit,food,2024-03-25
208,540,15777,credit,salary,2024-02-25
209,709,48786,debit,salary,2024-10-19
210,191,22865,debit,salary,2024-02-27
211,315,2481,credit,transfer,2024-01-09
212,901,16589,debit,atm,2024-05-11
213,563,11845,debit,food,2024-03-11
214,661,5918,debit,salary,2024-07-09
215,780,42754,credit,food,2024-04-13
216,562,33249,debit,salary,2024-09-03
217,900,27412,credit,transfer,2024-11-14
218,758,37224,debit,transfer,2024-03-01
219,113,38786,debit,shopping,2024-09-20
220,170,1416,debit,food,2024-03-30
221,468,5554,debit,shopping,2024-10-09
222,678,13207,debit,transfer,2024-02-14
223,921,4174,debit,transfer,2024-09-26
224,14,21288,debit,food,2024-12-27
225,715,47679,debit,shopping,2024-03-12
226,288,32068,credit,shopping,2024-02-21
227,907,40489,debit,shopping,2024-06-29
228,189,49914,credit,food,2024-11-02
229,914,23202,credit,food,2024-05-09
230,155,48994,debit,food,2024-02-17
231,567,41522,debit,atm,2024-07-05
232,694,32057,debit,transfer,2024-11-18
233,722,12972,credit,atm,2024-03-20
234,888,47819,debit,atm,2024-05-16
235,471,8449,credit,transfer,2024-04-12
236,75,19793,debit,salary,2024-01-02
237,277,32727,credit,salary,2024-03-15
238,940,43777,debit,salary,2024-08-08
239,645,10860,credit,food,2024-09-26
240,343,11684,debit,food,2024-09-08
241,425,2206,debit,shopping,2024-11-10
242,571,13769,debit,shopping,2024-10-29
243,511,25323,debit,atm,2024-06-12
244,857,35806,debit,shopping,2024-02-02
245,182,2583,debit,food,2024-12-24
246,458,27582,debit,atm,2024-07-09
247,918,34243,debit,shopping,2024-08-22
248,851,24340,debit,shopping,2024-01-18
249,833,10115,debit,salary,2024-08-04
250,64,16728,credit,food,2024-12-22
251,839,25543,debit,atm,2024-01-05
252,260,30919,debit,transfer,2024-10-14
253,193,15160,debit,shopping,2024-06-25
254,655,27537,credit,food,2024-03-13
255,616,49731,debit,atm,2024-09-26
256,972,10754,credit,food,2024-11-15
257,406,14353,debit,food,2024-02-01
258,726,11665,credit,atm,2024-05-16
259,754,27697,debit,salary,2024-04-18
260,943,27868,credit,salary,2024-10-30
261,721,187,debit,shopping,2024-11-03
262,93,9532,debit,salary,2024-04-18
263,430,8864,debit,shopping,2024-05-16
